TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
e_e000323,2305270006,,2305270006,,2023-05-27 17:30,15,15
e_e000323,2305270007,,2305270007,,2023-05-27 18:30,15,15
e_e000323,2305270008,,2305270008,,2023-05-27 19:30,12,15
e_e000323,2305270009,,2305270009,,2023-05-27 21:00,15,15
e_e000323,2305270010,,2305270010,,2023-05-27 21:30,15,15
e_e000323,2305280001,,2305280001,,2023-05-28 12:00,12,15
e_e000323,2305280002,,2305280002,,2023-05-28 13:30,15,15
e_e000323,2305280003,,2305280003,,2023-05-28 14:00,15,15
e_e000323,2305280004,,2305280004,,2023-05-28 16:30,5,15
e_e000329,2305260001,2305260001,,2023-05-26 18:30,,,
e_e000329,2305260002,,2305260002,,2023-05-26 23:30,1,
e_e000329,2305260003,,2305260003,,2023-05-26 19:00,1,
e_e000329,2305260004,,2305260004,,2023-05-26 20:30,15,
e_e000329,2305260005,,2305260005,,2023-05-26 22:00,15,
e_e000329,2305270001,,2305270001,,2023-05-27 15:30,15,
e_e000329,2305270002,,2305270002,,2023-05-27 18:30,15,
e_e000329,2305270003,,2305270003,,2023-05-27 19:30,15,
e_e000329,2305270004,,2305270004,,2023-05-27 20:00,15,
e_e000329,2305270005,,2305270005,,2023-05-27 20:00,15,
e_e000329,2305280001,,2305280001,,2023-05-28 12:30,1,
e_e000329,2305280002,,2305280002,,2023-05-28 12:30,15,
e_e000329,2305280003,,2305280003,,2023-05-28 13:30,15,
e_e000329,2305280004,,2305280004,,2023-05-28 14:30,15,
e_e000329,2305280005,,2305280005,,2023-05-28 15:30,1,
e_e000329,2305280006,,2305280006,,2023-05-28 18:30,1,
e_e000331,2305280001,2305280001,,2023-05-28 15:30,,,
e_e000331,2305280002,,2305280002,,2023-05-28 19:30,7,15
e_e000331,2305280003,,2305280003,,2023-05-28 20:00,15,
e_e000331,2305280004,,2305280004,,2023-05-28 21:00,15,
e_e000331,2305280005,,2305280005,,2023-05-28 22:30,5,15
e_e000331,2305280006,,2305280006,,2023-05-28 02:00,4,
e_e000331,2305280007,,2305280007,,2023-05-28 16:00,13,15
e_e000331,2305290001,,2305290001,,2023-05-29 09:30,5,15
e_e000331,2305290002,,2305290002,,2023-05-29 22:00,5,15
e_e000331,2305290003,,2305290003,,2023-05-29 22:30,15,
e_e000331,2305290004,,2305290004,,2023-05-29 01:30,15,
e_e000331,2305300001,,2305300001,,2023-05-30 11:00,5,
e_e000331,2305300002,,2305300002,,2023-05-30 15:00,9,5
