TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e002399,고기와 야채 과일 간식류,3,4,6059492487,부잣집 농산물,경기 광명시 오리로 958,경기 광명시 광명동 150-10,3000022,4121010100,6/3/23 16:55,1,12000,,,0,0
e_e002399,고기와 야채 과일 간식류,4,4,1268210349,(사)임금님표이천브랜드관리본부,경기 이천시 모가면 공원로 48,,3207060,4150036030,6/4/23 13:08,1,8000,ICE_아메리카노;현미라떼 ,,0,0
e_e002399,고기와 야채 과일 간식류,5,4,1078163829,(주)코스트코 코리아,경기 광명시 일직로 40,경기 광명시 일직동 163-3,3182031,4121010600,6/3/23 10:38,1,71900,미산냉장꽃갈비살,,0,0
e_e002401,물,0,2,,월드마트,월드할인마트,,,,,1,1500,,2824510700,0,0
e_e002402,물,0,2,,GS25,Gs25,,,,,1,1100,,2824510700,0,0
e_e002410,빵,0,7,,프랑제리 피어 신촌점,서강로75-16 이랜드 신촌,,,,,1,46500,,1144011100,0,0
e_e002433,간식,0,2,,cu,cu,,,,,3,20000,,1132010800,0,0
e_e002437,김밥,0,4,,오토김밥공덕점,164-4 삼부골든타워 1층 오토김밥 공덕점,,,,,1,10000,,1144010900,0,0
e_e002465,영화관람권,1,1,,롯데시네마 은평(롯데몰),서울 은평구 진관2로 15-40,서울 은평구 진관동 70-1,3111010,1138011400,6/5/23 9:01,1,30000,관람권,,0,0
e_e002471,바베큐 고기,1,3,8261501007,산우들,서울 동작구 동작대로29나길 9,서울 동작구 사당동 91-195,4157128,1159010700,6/13/23 17:48,1,46700,한돈 목살;한돈 오겹 ,,0,0
e_e002495,숙박 식사용 음식,0,15,,이마트 트레이더스 월평점,한밭대로 580,,,,,1,456980,,3017011300,0,0
e_e002511,아메리카노,0,1,,빽다방,전농로,,,,,3,3500,,1123010500,0,0
e_e002527,커피,1,1,7210901701,식자재마트 마켓탑,인천 서구 검단로 808,인천 서구 불로동 315-5,3000070,2826012100,6/11/23 8:06,1,2500,서울)스타벅스카페라떼,,0,0
e_e002541,커피,1,1,1098541232,맥도날드,서울 강서구 양천로 546,서울 강서구 등촌동 630,3115008,1150010200,6/10/23 9:26,1,2200,해피-아이스아메리카노,,0,0
e_e002570,고기 햇반 라면 김치 음료수 계란 쌈장 일회용품,1,4,2068650913,노브랜드,경기 하남시 위례대로 200,경기 하남시 학암동 660,2000034,4145011600,6/9/23 21:14,1,62970,칠성사이다;펩시콜라;삼양라면;별미 포기김치;초란,,0,0
e_e002570,고기 햇반 라면 김치 음료수 계란 쌈장 일회용품,2,4,2068650913,트레이더스 홀세일 클럽,경기 하남시 위례대로 200,경기 하남시 학암동 660,2000034,4145011600,6/9/23 20:51,1,377520,CJ햇반;카프리썬 오렌지망고;카스;1등급이상 도드람목심;1등급이상 도드람 냉장,,0,0
e_e002574,경기 티켓,1,2,8248102515,(주)인터파크트리플,서울 강남구 삼성로 512,,3122005,1168010500,5/26/23 0:00,3,103200,서울월드컵경기장 관람권,,0,0
